Word Length,Recursive Time (ns),Iterative Time (ns)
440,32150,1353
441,27824,1361
442,29287,1416
443,28387,1420
444,28813,1440
445,33044,1453
446,37328,1424
447,37643,1452
448,37477,1407
449,36986,1455
450,38153,1441
451,38429,1463
452,34124,1499
453,29349,1499
454,30035,1445
455,30599,1472
456,30218,1474
457,30677,1415
458,31293,1489
459,30544,1485
460,33247,992
461,62268,999
462,30671,1006
463,35455,1006
464,39386,1000
465,36624,1006
466,33538,1010
467,31957,1010
468,32614,1013
469,34163,1031
470,33441,1014
471,32133,1035
472,33779,1018
473,35743,1791
474,34039,1024
475,35897,1025
476,38006,1046
477,34776,1031
478,32692,1043
479,34739,1036
480,40105,1146
481,41037,1025
482,50512,1084
483,44037,1063
484,40444,1054
485,34003,1061
486,34197,1054
487,36442,1057
488,38375,1049
489,102213,1092
490,74126,1083
491,62489,1244
492,59491,1159
493,56570,1060
494,57777,1091
495,64719,1063
496,69898,1068
497,64288,1064
498,44707,1081
499,34993,1094
500,36481,1080
501,35898,1073
502,36384,1093
503,36270,1083
504,36437,1086
505,35864,1112
506,37283,1123
507,36235,1104
508,38060,1085
509,38490,1089
510,36918,1096
511,37486,1097
512,36905,1098
513,38743,1118
514,41951,1114
515,39040,1119
516,37624,1131
517,37256,1124
518,38053,1145
519,64814,1617
520,37887,1346
521,37650,1109
522,38321,1137
523,37604,1184
524,39112,1125
525,37697,1323
526,38353,1328
527,39992,1243
528,38706,1125
529,39035,1134
530,40005,1156
531,39191,1131
532,39650,1140
533,38925,1138
534,41201,1149
535,39442,1169
536,41295,1150
537,39981,1149
538,40844,1203
539,40701,1152
540,39975,1195
541,40752,1180
542,40507,1161
543,40422,1219
544,40686,1178
545,41071,1185
546,41466,1321
547,74028,1585
548,42175,1614
549,41529,2404
550,42614,1697
551,43683,1687
552,42408,1741
553,43003,1411
554,43473,1196
555,42427,1196
556,42905,1192
557,43065,1230
558,43420,1237
559,43587,1224
560,45143,1230
561,43307,1480
562,43899,1225
563,44252,1229
564,44654,1330
565,44066,1272
566,45573,1246
567,45872,1406
568,44768,1497
569,46452,1448
570,48092,1276
571,46540,1307
572,76794,1272
573,45308,1270
574,46223,1280
575,47211,1311
576,48608,1258
577,47771,1239
578,52422,1277
579,48796,1374
580,48943,1304
581,50793,1510
582,46543,1333
583,46904,1435
584,49361,1329
585,49580,1284
586,50389,1473
587,49904,1448
588,48923,1290
589,48400,1281
590,53032,1277
591,54741,1403
592,51293,1361
593,49053,1311
594,48876,1304
595,111869,1356
596,101804,1273
597,101687,1363
598,101844,1280
599,101077,1290
600,81721,1330
601,81639,1314
602,81583,1376
603,50909,1306
604,49998,1536
605,49660,1629
606,50362,1703
607,50192,1653
608,49930,1682
609,51299,1346
610,50823,1358
611,50970,1322
612,52264,1335
613,50804,1487
614,52280,1340
615,53071,1346
616,51677,1352
617,57479,1359
618,53421,1355
619,51425,1370
620,59924,1358
621,87547,1347
622,53584,1361
623,53266,1382
624,54207,1369
625,57297,1411
626,56061,1365
627,54014,1383
628,53506,1406
629,53304,1372
630,55096,1373
631,54105,1390
632,54580,1377
633,54140,1364
634,54306,1388
635,54481,1388
636,70340,2284
637,68456,2019
638,55149,2097
639,54361,1784
640,55259,1878
641,54548,1879
642,55665,1845
643,55469,1864
644,55362,1865
645,84490,1850
646,56628,1587
647,57480,1388
648,57423,1647
649,57236,1899
650,57709,1953
651,57425,2018
652,58032,1906
653,58136,1963
654,57593,2012
655,58038,1865
656,57806,1821
657,57393,1892
658,58798,1849
659,58588,1676
660,58951,1585
661,58217,1539
662,58885,1653
663,59740,1693
664,59185,1456
665,59112,1682
666,59429,1766
667,90238,1514
668,60131,1447
669,60059,1451
670,61459,1765
671,60978,1764
672,61331,1711
673,62318,1546
674,62312,1899
675,62822,1893
676,61618,2011
677,61564,2072
678,62583,1984
679,75032,2035
680,62260,2040
681,63595,2050
682,62525,2026
683,63686,2104
684,62936,2062
685,62656,2012
686,64556,2133
687,63197,2040
688,65503,1487
689,102633,1499
690,103493,1505
691,106543,1524
692,104970,1508
693,103582,1645
694,105518,1579
695,104376,1899
696,64904,1592
697,69395,1505
698,65193,1564
699,64636,1626
700,64537,1787
701,65004,1757
702,65871,1530
703,67086,1647
704,65797,1530
705,66439,1673
706,66243,1658
707,71558,1770
708,69289,1775
709,66939,1875
710,68579,1980
711,68167,1966
712,68861,5983
713,83708,2991
714,70890,1551
715,67957,1572
716,69241,1561
717,69010,1529
718,68537,1532
719,69453,1556
720,68942,1744
721,70832,1693
722,69754,1645
723,70686,1594
724,69618,1564
725,70262,1559
726,70116,1572
727,70510,1642
728,69916,1875
729,71625,1611
730,70805,1592
731,71526,1594
732,71802,1601
733,77194,1615
734,95307,1588
735,99039,1596
736,72144,1589
737,86446,1594
738,73548,1597
739,71950,1599
740,72208,1610
741,72637,1600
742,73465,1611
743,73176,1640
744,73703,2111
745,73553,1943
746,75095,1626
747,74633,1616
748,74600,1634
749,74216,1610
750,75957,1647
751,75990,1697
752,76171,1698
753,74932,1712
754,77591,2176
755,86243,1999
756,77099,1726
757,88999,2086
758,85533,2008
759,81379,1833
760,96095,1692
761,78476,1749
762,77926,1651
763,79217,1755
764,78075,2196
765,83238,2096
766,78566,2064
767,78056,2048
768,78202,1860
769,79349,1636
770,80692,1784
771,79330,2099
772,79873,2048
773,79995,1808
774,80778,1770
775,79411,1809
776,80235,1665
777,88187,1664
778,80114,1669
779,82929,1673
780,80702,1687
781,81404,1693
782,81508,1685
783,81608,1704
784,81747,1760
785,83549,1750
786,81885,1720
787,82939,1697
788,82750,1704
789,83230,1693
790,82943,1690
791,89192,1784
792,84571,1986
793,83695,1745
794,84972,1702
795,85961,1825
796,93912,1706
797,84368,1705
798,84742,1724
799,85327,1723
800,84925,1720
801,85135,1712
802,92923,1769
803,84564,1717
804,88393,1718
805,85293,1716
806,85960,1724
807,87742,1723
808,85954,1752
809,87361,1718
810,89963,1732
811,88647,1716
812,88816,1723
813,87981,1721
814,90184,1759
815,97129,1745
816,88742,1792
817,90203,1750
818,89083,1762
819,89714,1756
820,90046,1763
821,90164,1762
822,90382,1759
823,89394,1762
824,90048,1763
825,90919,1762
826,91134,1763
827,92367,1763
828,91156,1774
829,91972,1776
830,91304,2084
831,94390,1790
832,107984,1800
833,99926,1786
834,91745,1816
835,92652,1752
836,94473,1796
837,92678,1952
838,96818,2029
839,93547,2461
840,93095,1785
841,94212,1804
842,93850,1776
843,93376,1775
844,95130,1781
845,94058,1777
846,95984,1782
847,94806,1779
848,95783,1786
849,94942,1791
850,105644,1789
851,95379,1802
852,97668,2371
853,97075,1940
854,97192,2030
855,98409,1906
856,98944,1802
857,96573,2890
858,101704,1830
859,96975,1816
860,97566,1831
861,97734,1817
862,102277,1809
863,104364,1825
864,104785,1828
865,104971,1825
866,107298,1837
867,100131,1834
868,103165,1859
869,100182,1864
870,102096,1836
871,101552,1852
872,100102,1843
873,101069,1853
874,101783,1844
875,102282,1843
876,105006,1826
877,100242,1829
878,101728,1861
879,102644,1831
880,102251,1886
881,103497,1854
882,110948,1855
883,103335,1850
884,105635,1849
885,125552,1860
886,105140,1852
887,103375,1890
888,104716,1874
889,103910,1866
890,104503,1870
891,109881,1867
892,109027,1893
893,106786,1884
894,109619,1886
895,107516,1902
896,109095,1898
897,118139,1895
898,106158,1894
899,107145,2475
900,108608,2624
901,105481,2887
902,106743,2973
903,107011,2941
904,106951,2848
905,107823,2871
906,107831,2913
907,107072,2930
908,109400,2997
909,112612,2133
910,112319,2046
911,111128,1990
912,119652,1935
913,109307,1925
914,110757,1946
915,110937,2025
916,109638,2016
917,110893,1932
918,111148,2007
919,110657,1944
920,111809,2022
921,111266,1948
922,111198,1939
923,112342,1957
924,114048,1948
925,113651,1952
926,112568,1955
927,121359,2042
928,113708,1978
929,113428,1981
930,115010,1954
931,114045,1976
932,116240,1978
933,115053,1953
934,148174,1972
935,114335,2075
936,116316,3442
937,116825,3230
938,115802,2676
939,117726,2722
940,120465,3053
941,125032,3113
942,116645,2942
943,115481,3044
944,116652,2215
945,116346,2008
946,117084,2003
947,118690,2013
948,117934,2022
949,122368,2022
950,134339,2011
951,120062,2045
952,124028,2025
953,118449,2030
954,131723,2022
